|  SP | White    | Black    | Chess960FEN                                                   |
|   0 | BBQNNRKR | bbqnnrkr | [FEN "bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf - 0 1"] |
|   1 | BQNBNRKR | bqnbnrkr | [FEN "bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf - 0 1"] |
|   2 | BQNNRBKR | bqnnrbkr | [FEN "bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w HEhe - 0 1"] |
|   3 | BQNNRKRB | bqnnrkrb | [FEN "bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w GEge - 0 1"] |
|   4 | QBBNNRKR | qbbnnrkr | [FEN "qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w HFhf - 0 1"] |
|   5 | QNBBNRKR | qnbbnrkr | [FEN "qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w HFhf - 0 1"] |
|   6 | QNBNRBKR | qnbnrbkr | [FEN "qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe - 0 1"] |
|   7 | QNBNRKRB | qnbnrkrb | [FEN "qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge - 0 1"] |
|   8 | QBNNBRKR | qbnnbrkr | [FEN "qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf - 0 1"] |
|   9 | QNNBBRKR | qnnbbrkr | [FEN "qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf - 0 1"] |
|  10 | QNNRBBKR | qnnrbbkr | [FEN "qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w HDhd - 0 1"] |
|  11 | QNNRBKRB | qnnrbkrb | [FEN "qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w GDgd - 0 1"] |
|  12 | QBNNRKBR | qbnnrkbr | [FEN "qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w HEhe - 0 1"] |
|  13 | QNNBRKBR | qnnbrkbr | [FEN "qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w HEhe - 0 1"] |
|  14 | QNNRKBBR | qnnrkbbr | [FEN "qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w HDhd - 0 1"] |
|  15 | QNNRKRBB | qnnrkrbb | [FEN "qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w FDfd - 0 1"] |
|  16 | BBNQNRKR | bbnqnrkr | [FEN "bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w HFhf - 0 1"] |
|  17 | BNQBNRKR | bnqbnrkr | [FEN "bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w HFhf - 0 1"] |
|  18 | BNQNRBKR | bnqnrbkr | [FEN "bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w HEhe - 0 1"] |
|  19 | BNQNRKRB | bnqnrkrb | [FEN "bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w GEge - 0 1"] |
|  20 | NBBQNRKR | nbbqnrkr | [FEN "nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w HFhf - 0 1"] |
|  21 | NQBBNRKR | nqbbnrkr | [FEN "nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w HFhf - 0 1"] |
|  22 | NQBNRBKR | nqbnrbkr | [FEN "nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w HEhe - 0 1"] |
|  23 | NQBNRKRB | nqbnrkrb | [FEN "nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w GEge - 0 1"] |
|  24 | NBQNBRKR | nbqnbrkr | [FEN "nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf - 0 1"] |
|  25 | NQNBBRKR | nqnbbrkr | [FEN "nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf - 0 1"] |
|  26 | NQNRBBKR | nqnrbbkr | [FEN "nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd - 0 1"] |
|  27 | NQNRBKRB | nqnrbkrb | [FEN "nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd - 0 1"] |
|  28 | NBQNRKBR | nbqnrkbr | [FEN "nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe - 0 1"] |
|  29 | NQNBRKBR | nqnbrkbr | [FEN "nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w HEhe - 0 1"] |
|  30 | NQNRKBBR | nqnrkbbr | [FEN "nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w HDhd - 0 1"] |
|  31 | NQNRKRBB | nqnrkrbb | [FEN "nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w FDfd - 0 1"] |
|  32 | BBNNQRKR | bbnnqrkr | [FEN "bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w HFhf - 0 1"] |
|  33 | BNNBQRKR | bnnbqrkr | [FEN "bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w HFhf - 0 1"] |
|  34 | BNNQRBKR | bnnqrbkr | [FEN "bnnqrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNQRBKR w HEhe - 0 1"] |
|  35 | BNNQRKRB | bnnqrkrb | [FEN "bnnqrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNQRKRB w GEge - 0 1"] |
|  36 | NBBNQRKR | nbbnqrkr | [FEN "nbbnqrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNQRKR w HFhf - 0 1"] |
|  37 | NNBBQRKR | nnbbqrkr | [FEN "nnbbqrkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBQRKR w HFhf - 0 1"] |
|  38 | NNBQRBKR | nnbqrbkr | [FEN "nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w HEhe - 0 1"] |
|  39 | NNBQRKRB | nnbqrkrb | [FEN "nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w GEge - 0 1"] |
|  40 | NBNQBRKR | nbnqbrkr | [FEN "nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w HFhf - 0 1"] |
|  41 | NNQBBRKR | nnqbbrkr | [FEN "nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w HFhf - 0 1"] |
|  42 | NNQRBBKR | nnqrbbkr | [FEN "nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w HDhd - 0 1"] |
